t,x,y
0.000000,0.033844,0.900969
0.033352,0.062820,0.910942
0.066704,0.091442,0.918908
0.100056,0.115151,0.919631
0.133407,0.137513,0.922052
0.166759,0.162137,0.924490
0.200111,0.189000,0.925772
0.233463,0.218403,0.926460
0.266815,0.249027,0.925653
0.300167,0.277997,0.922392
0.333519,0.310622,0.919425
0.366870,0.344925,0.914893
0.400222,0.375574,0.913228
0.433574,0.408511,0.915908
0.466926,0.445954,0.920190
0.500278,0.481577,0.925928
0.533630,0.512964,0.926388
0.566982,0.546248,0.924391
0.600334,0.576027,0.922338
0.633685,0.600182,0.917839
0.667037,0.624857,0.918277
0.700389,0.653045,0.921199
0.733741,0.680373,0.918558
0.767093,0.710469,0.915380
0.800445,0.733523,0.906700
0.833797,0.756451,0.899764
0.867148,0.782649,0.893109
0.900500,0.813144,0.884223
0.933852,0.848259,0.876422
0.967204,0.882593,0.876872
1.000556,0.920236,0.887196
1.033908,0.964548,0.902329
1.067260,1.014126,0.913483
1.100611,1.055430,0.914778
1.133963,1.081463,0.917077
1.167315,1.105803,0.923944
1.200667,1.133531,0.926788
1.234019,1.156786,0.926739
1.267371,1.182554,0.926786
1.300723,1.214359,0.926404
1.334074,1.244793,0.924512
1.367426,1.275482,0.920710
1.400778,1.307627,0.916428
1.434130,1.337612,0.909769
1.467482,1.369017,0.903327
1.500834,1.401037,0.897544
1.534186,1.438415,0.895152
1.567538,1.483313,0.899455
1.600889,1.520997,0.905620
1.634241,1.554280,0.910251
1.667593,1.592060,0.916489
1.700945,1.625148,0.922348
1.734297,1.653763,0.923326
1.767649,1.683075,0.923163
1.801001,1.714735,0.923861
1.834352,1.746011,0.922838
1.867704,1.779330,0.919418
1.901056,1.809408,0.912714
1.934408,1.836230,0.904292
1.967760,1.863258,0.896030
2.001112,1.893436,0.887743
2.034464,1.930011,0.879920
2.067815,1.968909,0.877207
2.101167,2.008445,0.886032
2.134519,2.054920,0.898293
2.167871,2.108048,0.908226
2.201223,2.151346,0.912754
2.234575,2.183698,0.917564
2.267927,2.216404,0.924223
2.301278,2.246129,0.925582
2.334630,2.274710,0.924540
2.367982,2.305421,0.925263
2.401334,2.336016,0.923048
2.434686,2.367381,0.919122
2.468038,2.402132,0.914358
2.501390,2.440327,0.907850
2.534742,2.473165,0.899498
2.568093,2.506461,0.890522
2.601445,2.542823,0.883240
2.634797,2.584611,0.879078
2.668149,2.630545,0.881555
2.701501,2.677126,0.891481
2.734853,2.726626,0.899591
2.768205,2.771088,0.911090
2.801556,2.808408,0.920896
2.834908,2.842526,0.923468
