joint_data_pelvis_tx,joint_data_pelvis_ty,joint_data_pelvis_tilt,joint_data_hip_flexion_r,joint_data_knee_r_translation1,joint_data_knee_r_translation2,joint_data_knee_angle_r,joint_data_ankle_angle_r,joint_data_mtp_angle_r,joint_data_hamstrings_r_semimem_r-P2_x,joint_data_hamstrings_r_semimem_r-P2_y,joint_data_rect_fem_r_rect_fem_r-P3_x,joint_data_rect_fem_r_rect_fem_r-P3_y,joint_data_vasti_r_vas_int_r-P4_x,joint_data_vasti_r_vas_int_r-P4_y,joint_data_gastroc_r_med_gas_r-P2_x,joint_data_gastroc_r_med_gas_r-P2_y,joint_data_gastroc_r_med_gas_r-P2_z,joint_data_hip_flexion_l,joint_data_knee_l_translation1,joint_data_knee_l_translation2,joint_data_knee_angle_l,joint_data_ankle_angle_l,joint_data_mtp_angle_l,joint_data_hamstrings_l_semimem_l-P2_x,joint_data_hamstrings_l_semimem_l-P2_y,joint_data_rect_fem_l_rect_fem_l-P3_x,joint_data_rect_fem_l_rect_fem_l-P3_y,joint_data_vasti_l_vas_int_l-P4_x,joint_data_vasti_l_vas_int_l-P4_y,joint_data_gastroc_l_med_gas_l-P2_x,joint_data_gastroc_l_med_gas_l-P2_y,joint_data_gastroc_l_med_gas_l-P2_z,joint_data_r_shoulder_abd,joint_data_r_shoulder_rot,joint_data_r_shoulder_flex,joint_data_r_elbow_flex,joint_data_r_wrist_rot,joint_data_r_wrist_flex,joint_data_r_wrist_dev,joint_data_l_shoulder_abd,joint_data_l_shoulder_rot,joint_data_l_shoulder_flex,joint_data_l_elbow_flex,joint_data_l_wrist_rot,joint_data_l_wrist_flex,joint_data_l_wrist_dev,joint_data_iliopsoas_r_psoas_r-P3_x,joint_data_iliopsoas_r_psoas_r-P3_y,joint_data_iliopsoas_r_psoas_r-P3_z,joint_data_iliopsoas_l_psoas_l-P3_x,joint_data_iliopsoas_l_psoas_l-P3_y,joint_data_iliopsoas_l_psoas_l-P3_z,sensor_data_r_foot,sensor_data_r_toes,sensor_data_l_foot,sensor_data_l_toes,sensor_data_r_knee_sensor,sensor_data_l_knee_sensor,sensor_data_r_hip_sensor,sensor_data_l_hip_sensor,sensor_data_r_ankle_sensor,sensor_data_l_ankle_sensor,sensor_data_r_mtp_sensor,sensor_data_l_mtp_sensor,time
[0.0134],[0.9595],[0.2094],[-0.1223],[0.0009],[-0.405],[-0.1407],[-0.1228],[0.6073],[-0.0306],[-0.0423],[0.0315],[0.0331],[0.014],[0.0402],[-0.0249],[-0.4055],[-0.0237],[-0.0646],[0.0004],[-0.3978],[-0.7103],[-0.1863],[0.4089],[-0.0318],[-0.0407],[0.0245],[0.0405],[0.0068],[0.0525],[-0.0297],[-0.4042],[0.0257],[0.12],[3.3039e-05],[-0.0005],[-9.5643e-05],[-1.7727e-06],[-2.9855e-06],[-1.0429e-05],[0.11],[-1.3472e-05],[0.0005],[-9.1724e-05],[-6.719e-06],[-1.2394e-06],[-1.0455e-05],[-0.033],[-0.078],[0.0811],[-0.0334],[-0.0782],[-0.0812],[0.],[0.],[0.],[399.028],[0.],[0.],[0.],[0.],[0.],[0.],[0.6607],[0.],0.0
[0.0373],[0.9851],[0.2836],[-0.3168],[-0.0028],[-0.3973],[0.0614],[-0.3349],[0.566],[-0.0337],[-0.037],[0.0577],[0.0382],[0.0529],[0.0355],[-0.0218],[-0.4015],[-0.0235],[-0.4097],[-0.0023],[-0.394],[-0.2075],[-0.2688],[0.4325],[-0.0334],[-0.0374],[0.0404],[0.0455],[0.0428],[0.0518],[-0.0262],[-0.4022],[0.024],[0.12],[2.9662e-05],[-0.0004],[-7.6952e-05],[-1.4639e-06],[-2.9169e-06],[-7.9069e-06],[0.11],[-1.3293e-05],[0.0004],[-7.3215e-05],[-5.7198e-06],[-1.2131e-06],[-7.9512e-06],[-0.0399],[-0.0736],[0.0791],[-0.0383],[-0.0759],[-0.0799],[0.],[0.],[0.],[0.],[55.6359],[0.],[0.],[256.8068],[0.],[0.],[0.5385],[0.],0.033351862145636464
[0.0299],[0.9913],[0.2619],[-0.2541],[-0.0035],[-0.3949],[0.0025],[-0.3862],[0.5586],[-0.0268],[-0.0351],[0.054],[0.0382],[0.0522],[0.0436],[-0.0228],[-0.4001],[-0.024],[-0.4007],[-0.003],[-0.3942],[-0.112],[-0.288],[0.2982],[-0.0336],[-0.0368],[0.0469],[0.0468],[0.0462],[0.0477],[-0.0236],[-0.4016],[0.0236],[0.12],[2.7652e-05],[-0.0004],[-6.4392e-05],[-1.2606e-06],[-2.9076e-06],[-6.2426e-06],[0.11],[-1.3219e-05],[0.0004],[-6.082e-05],[-5.0762e-06],[-1.2099e-06],[-6.2988e-06],[-0.0376],[-0.074],[0.0794],[-0.0376],[-0.0747],[-0.0798],[0.],[0.],[0.],[0.],[0.],[0.],[0.],[39.215],[0.],[0.],[0.1587],[0.],0.06670372429127293
[0.0194],[0.9859],[0.2293],[-0.1819],[-0.0032],[-0.3941],[-0.0773],[-0.3781],[0.5512],[-0.0287],[-0.036],[0.0527],[0.0359],[0.0477],[0.0474],[-0.0241],[-0.4001],[-0.0243],[-0.3636],[-0.0039],[-0.3941],[0.0229],[-0.3078],[0.2324],[-0.0331],[-0.0354],[0.0542],[0.0409],[0.0535],[0.0408],[-0.0214],[-0.4005],[0.0234],[0.12],[2.7814e-05],[-0.0004],[-6.5319e-05],[-1.2791e-06],[-2.9126e-06],[-6.4042e-06],[0.11],[-1.32e-05],[0.0004],[-6.1764e-05],[-5.1329e-06],[-1.2115e-06],[-6.4594e-06],[-0.0366],[-0.0741],[0.0794],[-0.0356],[-0.0758],[-0.0801],[0.],[0.],[0.],[0.],[0.],[43.0328],[0.],[0.],[0.],[0.],[0.2027],[0.],0.1000555864369094
[0.012],[0.9721],[0.2088],[-0.1517],[-0.0028],[-0.3941],[-0.1453],[-0.2524],[0.5252],[-0.0294],[-0.0367],[0.0513],[0.0342],[0.044],[0.0506],[-0.0252],[-0.4004],[-0.0245],[-0.3084],[-0.0038],[-0.3942],[0.0238],[-0.3283],[0.3794],[-0.0321],[-0.0352],[0.0542],[0.0399],[0.0536],[0.0399],[-0.0206],[-0.3999],[0.0234],[0.12],[2.8709e-05],[-0.0004],[-7.0089e-05],[-1.3481e-06],[-3.0001e-06],[-7.0466e-06],[0.11],[-1.3101e-05],[0.0004],[-6.6486e-05],[-5.3648e-06],[-1.2455e-06],[-7.0971e-06],[-0.0359],[-0.0747],[0.0796],[-0.0342],[-0.0769],[-0.0804],[0.],[0.],[0.],[48.729],[0.],[46.4584],[0.],[0.],[0.],[0.],[0.0091],[0.],0.13340744858254586
[0.0111],[0.9587],[0.2099],[-0.1859],[-0.0026],[-0.3941],[-0.1603],[-0.1093],[0.5176],[-0.0294],[-0.0367],[0.0517],[0.032],[0.043],[0.0513],[-0.0256],[-0.4005],[-0.0246],[-0.3194],[-0.0041],[-0.3938],[0.0177],[-0.2012],[0.298],[-0.032],[-0.0354],[0.054],[0.0402],[0.0531],[0.0417],[-0.0203],[-0.3997],[0.0233],[0.12],[2.9352e-05],[-0.0004],[-7.3166e-05],[-1.3735e-06],[-3.1789e-06],[-7.4565e-06],[0.1099],[-1.2739e-05],[0.0004],[-6.9518e-05],[-5.4685e-06],[-1.3151e-06],[-7.503e-06],[-0.0357],[-0.0753],[0.0798],[-0.0337],[-0.0776],[-0.0806],[0.],[0.],[0.],[25.0984],[0.],[78.2407],[0.],[0.],[0.],[0.],[0.],[0.],0.16675931072818231
[0.0133],[0.9499],[0.2257],[-0.2553],[-0.0025],[-0.3942],[-0.1727],[-0.0015],[0.5153],[-0.0294],[-0.0368],[0.0523],[0.0297],[0.0423],[0.0518],[-0.026],[-0.4005],[-0.0247],[-0.3497],[-0.004],[-0.3935],[0.0183],[-0.1005],[0.1688],[-0.0325],[-0.0355],[0.054],[0.0401],[0.0531],[0.0415],[-0.0201],[-0.3995],[0.0233],[0.12],[2.9734e-05],[-0.0004],[-7.459e-05],[-1.3628e-06],[-3.4046e-06],[-7.6305e-06],[0.1099],[-1.2249e-05],[0.0004],[-7.089e-05],[-5.4632e-06],[-1.4031e-06],[-7.6743e-06],[-0.0358],[-0.0757],[0.0799],[-0.0346],[-0.0771],[-0.0804],[0.],[0.],[0.],[29.0162],[0.],[20.8499],[0.],[120.3164],[0.],[0.],[0.],[0.],0.2001111728738188
[0.0119],[0.947],[0.2335],[-0.3062],[-0.0022],[-0.3945],[-0.216],[0.0382],[0.5245],[-0.0297],[-0.0372],[0.0514],[0.0285],[0.0396],[0.0538],[-0.0266],[-0.4006],[-0.0249],[-0.3573],[-0.004],[-0.3934],[0.0141],[-0.0614],[0.1093],[-0.0327],[-0.0355],[0.0538],[0.0401],[0.0529],[0.0414],[-0.0202],[-0.3995],[0.0233],[0.12],[2.9077e-05],[-0.0004],[-6.901e-05],[-1.2362e-06],[-3.6347e-06],[-6.8299e-06],[0.1099],[-1.1804e-05],[0.0004],[-6.5337e-05],[-5.0996e-06],[-1.4933e-06],[-6.8784e-06],[-0.0369],[-0.0749],[0.0797],[-0.035],[-0.0767],[-0.0803],[0.],[0.],[0.],[39.457],[0.],[66.6316],[0.],[9.7659],[0.],[0.],[0.],[0.],0.23346303501945526
[0.0068],[0.9482],[0.2315],[-0.3396],[-0.002],[-0.3949],[-0.2458],[0.0208],[0.5246],[-0.03],[-0.0375],[0.0503],[0.0285],[0.0377],[0.0552],[-0.0271],[-0.4006],[-0.0251],[-0.3476],[-0.0039],[-0.3934],[0.0138],[-0.0706],[0.1123],[-0.0315],[-0.0353],[0.0538],[0.04],[0.0529],[0.0411],[-0.0203],[-0.3995],[0.0233],[0.12],[2.8875e-05],[-0.0004],[-6.6683e-05],[-1.1704e-06],[-3.8181e-06],[-6.4857e-06],[0.1099],[-1.1438e-05],[0.0004],[-6.3004e-05],[-4.9185e-06],[-1.5649e-06],[-6.5357e-06],[-0.0376],[-0.0741],[0.0795],[-0.0346],[-0.0769],[-0.0804],[0.],[0.],[0.],[38.286],[0.],[49.859],[0.],[0.],[0.],[0.],[0.],[0.],0.2668148971650917
[-0.002],[0.9491],[0.2196],[-0.355],[-0.0022],[-0.3948],[-0.2164],[-0.0034],[0.5282],[-0.0302],[-0.0372],[0.0502],[0.0308],[0.0395],[0.0541],[-0.0271],[-0.4003],[-0.0251],[-0.3211],[-0.0039],[-0.3935],[0.0102],[-0.0842],[0.1243],[-0.0289],[-0.0351],[0.0537],[0.0401],[0.0528],[0.0409],[-0.0206],[-0.3995],[0.0234],[0.12],[2.8444e-05],[-0.0004],[-6.3263e-05],[-1.0958e-06],[-3.9369e-06],[-5.9972e-06],[0.1099],[-1.1204e-05],[0.0004],[-5.9598e-05],[-4.7013e-06],[-1.6114e-06],[-6.05e-06],[-0.0377],[-0.0737],[0.0794],[-0.0338],[-0.0775],[-0.0806],[0.],[0.],[0.],[13.7113],[0.],[17.5253],[9.6726],[0.],[0.],[0.],[0.0375],[0.],0.30016675931072817
