t,x,y
0.000000,0.013391,0.959521
0.033352,0.037269,0.985123
0.066704,0.029918,0.991325
0.100056,0.019448,0.985896
0.133407,0.012039,0.972068
0.166759,0.011090,0.958726
0.200111,0.013295,0.949945
0.233463,0.011938,0.947046
0.266815,0.006771,0.948161
0.300167,-0.002036,0.949103
0.333519,-0.013189,0.947577
0.366870,-0.023916,0.947389
0.400222,-0.033196,0.948101
0.433574,-0.039255,0.946351
0.466926,-0.046534,0.938310
0.500278,-0.054114,0.924823
0.533630,-0.058714,0.907546
0.566982,-0.059189,0.903127
0.600334,-0.057681,0.906186
0.633685,-0.056205,0.907646
0.667037,-0.054789,0.906266
0.700389,-0.051950,0.905799
0.733741,-0.047627,0.904849
0.767093,-0.041477,0.903338
0.800445,-0.033516,0.901910
0.833797,-0.027958,0.905723
0.867148,-0.019575,0.919440
0.900500,-0.006217,0.940992
0.933852,0.010600,0.962230
0.967204,0.025879,0.974926
1.000556,0.040179,0.977037
1.033908,0.053429,0.967835
1.067260,0.064489,0.948475
1.100611,0.074053,0.923958
1.133963,0.089261,0.905517
1.167315,0.103420,0.910651
1.200667,0.117003,0.928567
1.234019,0.133646,0.953816
1.267371,0.151300,0.976988
1.300723,0.169450,0.989523
1.334074,0.186861,0.990576
1.367426,0.202834,0.980238
1.400778,0.217110,0.961375
1.434130,0.233553,0.936124
1.467482,0.246921,0.915296
1.500834,0.257515,0.917695
1.534186,0.271907,0.936920
1.567538,0.288845,0.963516
1.600889,0.307746,0.987189
1.634241,0.327282,0.999974
1.667593,0.345957,1.001319
1.700945,0.362994,0.991236
1.734297,0.378304,0.971185
1.767649,0.394283,0.944920
1.801001,0.412007,0.919707
1.834352,0.423798,0.916583
1.867704,0.435629,0.928777
1.901056,0.450617,0.950312
1.934408,0.466338,0.969765
1.967760,0.483216,0.978828
2.001112,0.499591,0.976541
2.034464,0.513996,0.963748
2.067815,0.526576,0.944992
2.101167,0.541096,0.922807
2.134519,0.552992,0.916061
2.167871,0.564947,0.925633
2.201223,0.580393,0.945525
2.234575,0.596067,0.965210
2.267927,0.612198,0.976016
2.301278,0.628485,0.975673
2.334630,0.644035,0.964078
2.367982,0.657919,0.941931
2.401334,0.672579,0.914593
2.434686,0.687470,0.908843
2.468038,0.701427,0.923520
2.501390,0.719036,0.949490
2.534742,0.737932,0.976999
2.568093,0.757641,0.997027
2.601445,0.777497,1.005811
2.634797,0.796510,1.003169
2.668149,0.813906,0.989172
2.701501,0.831559,0.965310
2.734853,0.850384,0.934260
2.768205,0.863647,0.911802
2.801556,0.875348,0.917217
2.834908,0.889897,0.938701
2.868260,0.907387,0.965854
2.901612,0.927129,0.988919
2.934964,0.946979,1.000799
2.968316,0.965434,1.001160
3.001668,0.982027,0.990133
3.035019,0.997390,0.971091
3.068371,1.014001,0.946085
3.101723,1.028304,0.922341
3.135075,1.038025,0.919347
3.168427,1.049221,0.932031
3.201779,1.063026,0.952562
3.235131,1.077961,0.969910
3.268482,1.094321,0.976536
3.301834,1.109577,0.971949
3.335186,1.121340,0.959244
3.368538,1.132949,0.940525
3.401890,1.145475,0.918335
3.435242,1.156115,0.912888
3.468594,1.167568,0.922269
3.501946,1.182142,0.941175
3.535297,1.196763,0.962102
3.568649,1.212168,0.976594
3.602001,1.228249,0.980052
3.635353,1.243434,0.972175
3.668705,1.256281,0.954507
3.702057,1.267967,0.931660
3.735409,1.283615,0.909750
3.768760,1.296283,0.908844
3.802112,1.307096,0.917248
3.835464,1.321143,0.934373
3.868816,1.337517,0.953708
3.902168,1.351965,0.967630
3.935520,1.366460,0.971423
3.968872,1.380574,0.964024
4.002223,1.393628,0.945457
4.035575,1.406356,0.916977
4.068927,1.420968,0.904385
4.102279,1.435371,0.914200
4.135631,1.453308,0.937920
4.168983,1.474544,0.968232
4.202335,1.497250,0.998238
4.235686,1.520818,1.019785
4.269038,1.543878,1.029880
4.302390,1.565784,1.028587
4.335742,1.586120,1.015960
4.369094,1.607861,0.993090
4.402446,1.630134,0.961024
4.435798,1.649402,0.927701
4.469150,1.659355,0.917623
4.502501,1.668812,0.930794
4.535853,1.685331,0.956165
4.569205,1.703739,0.984514
4.602557,1.723354,1.006882
4.635909,1.743233,1.018021
4.669261,1.761753,1.017728
4.702613,1.778301,1.005914
4.735964,1.794504,0.984663
4.769316,1.810458,0.957682
4.802668,1.827395,0.927866
4.836020,1.837959,0.915725
4.869372,1.847569,0.923161
4.902724,1.859460,0.939367
4.936076,1.872746,0.953495
4.969427,1.886145,0.957127
5.002779,1.899744,0.950359
5.036131,1.911039,0.937262
5.069483,1.922089,0.920352
5.102835,1.932028,0.910705
5.136187,1.942970,0.916364
5.169539,1.955712,0.932522
5.202890,1.971236,0.954926
5.236242,1.986146,0.974626
5.269594,2.001664,0.983930
5.302946,2.016904,0.981905
5.336298,2.030559,0.968878
5.369650,2.042209,0.948741
5.403002,2.056243,0.923711
5.436354,2.066679,0.909506
5.469705,2.077226,0.915745
5.503057,2.091676,0.935307
5.536409,2.107574,0.960760
5.569761,2.124726,0.982610
5.603113,2.142580,0.993499
5.636465,2.159564,0.992954
5.669817,2.174827,0.981095
5.703168,2.188176,0.961227
5.736520,2.203824,0.935345
5.769872,2.217694,0.915395
5.803224,2.228543,0.918935
5.836576,2.241654,0.937476
5.869928,2.257370,0.962226
5.903280,2.275641,0.983277
5.936631,2.294387,0.993251
5.969983,2.311678,0.991708
6.003335,2.326697,0.979645
6.036687,2.339894,0.961028
6.070039,2.355345,0.936735
6.103391,2.368491,0.920176
6.136743,2.379257,0.924576
6.170094,2.392188,0.942014
6.203446,2.407215,0.961874
6.236798,2.423772,0.974580
6.270150,2.440638,0.976227
6.303502,2.456017,0.966719
6.336854,2.468375,0.949769
6.370206,2.482231,0.927357
6.403558,2.493750,0.909593
6.436909,2.504207,0.909531
6.470261,2.515878,0.920729
6.503613,2.530421,0.940579
6.536965,2.545624,0.962291
6.570317,2.560767,0.977371
6.603669,2.576384,0.981354
6.637021,2.591232,0.974013
6.670372,2.604041,0.956323
6.703724,2.615706,0.932971
6.737076,2.631529,0.912255
6.770428,2.644512,0.914037
6.803780,2.657174,0.928885
6.837132,2.673479,0.951773
6.870484,2.690053,0.972729
6.903835,2.706770,0.983587
6.937187,2.723316,0.983150
6.970539,2.738899,0.971401
7.003891,2.752977,0.949458
7.037243,2.768448,0.921971
7.070595,2.782785,0.911748
7.103947,2.795925,0.922128
7.137298,2.812328,0.944850
7.170650,2.829965,0.971229
7.204002,2.849245,0.992401
7.237354,2.868885,1.002440
7.270706,2.887542,1.001031
7.304058,2.904424,0.988188
7.337410,2.920679,0.966625
7.370762,2.938774,0.938929
7.404113,2.953654,0.921295
7.437465,2.965402,0.927879
7.470817,2.979187,0.947182
7.504169,2.995365,0.965887
7.537521,3.013468,0.974794
7.570873,3.031037,0.972405
7.604225,3.046381,0.959620
7.637576,3.059603,0.940832
7.670928,3.074296,0.918864
7.704280,3.085794,0.912750
7.737632,3.097830,0.924397
7.770984,3.113464,0.945289
7.804336,3.129327,0.965242
7.837688,3.145307,0.975798
7.871039,3.161437,0.975286
7.904391,3.176840,0.963536
7.937743,3.190408,0.941233
7.971095,3.204232,0.915283
8.004447,3.221812,0.910870
8.037799,3.236213,0.922292
8.071151,3.253656,0.945081
8.104503,3.272346,0.970519
8.137854,3.291151,0.989679
8.171206,3.310251,0.997694
8.204558,3.328723,0.994334
8.237910,3.345803,0.979662
8.271262,3.363072,0.955265
8.304614,3.381464,0.925560
8.337966,3.394863,0.917178
8.371317,3.408681,0.930986
8.404669,3.427133,0.955939
8.438021,3.446892,0.981584
8.471373,3.467255,0.998816
8.504725,3.487465,1.004719
8.538077,3.506817,0.999244
8.571429,3.524602,0.982440
8.604780,3.543248,0.955976
8.638132,3.562592,0.925283
8.671484,3.576182,0.918872
8.704836,3.589975,0.933192
8.738188,3.608210,0.957980
8.771540,3.627366,0.981285
8.804892,3.646989,0.994248
8.838243,3.666333,0.995889
8.871595,3.684712,0.986179
8.904947,3.701449,0.965260
8.938299,3.718778,0.937141
8.971651,3.736900,0.917163
9.005003,3.750809,0.922621
9.038355,3.765874,0.940805
9.071707,3.781694,0.962345
9.105058,3.799347,0.978397
9.138410,3.817271,0.983318
9.171762,3.834107,0.976799
9.205114,3.848862,0.960115
9.238466,3.863266,0.937270
9.271818,3.879059,0.913896
9.305170,3.890906,0.913416
9.338521,3.903766,0.927967
9.371873,3.919843,0.950375
9.405225,3.935755,0.971260
9.438577,3.952128,0.982457
9.471929,3.968623,0.982453
9.505281,3.984312,0.971185
9.538633,3.998246,0.948941
9.571984,4.012660,0.920476
9.605336,4.029477,0.912023
9.638688,4.043116,0.922953
9.672040,4.059833,0.945393
9.705392,4.077171,0.968104
9.738744,4.094717,0.982223
9.772096,4.112367,0.985150
9.805447,4.129408,0.976803
9.838799,4.145113,0.957206
9.872151,4.161869,0.929646
9.905503,4.177372,0.913366
9.938855,4.191157,0.921904
9.972207,4.207849,0.944097
10.005559,4.225932,0.971253
10.038911,4.245855,0.994189
10.072262,4.266216,1.006026
10.105614,4.285566,1.006405
10.138966,4.303147,0.995338
10.172318,4.319950,0.974441
10.205670,4.338380,0.947144
10.239022,4.354805,0.925468
10.272374,4.366510,0.929070
10.305725,4.379483,0.946723
10.339077,4.394972,0.965164
10.372429,4.412451,0.974691
10.405781,4.429717,0.973024
10.439133,4.445309,0.960322
10.472485,4.458453,0.940703
10.505837,4.472233,0.918845
10.539188,4.483867,0.913369
10.572540,4.495923,0.923910
10.605892,4.511183,0.943355
10.639244,4.526502,0.962061
10.672596,4.541741,0.971804
10.705948,4.557226,0.970588
10.739300,4.571965,0.958142
10.772651,4.584593,0.936217
10.806003,4.597847,0.912787
10.839355,4.614587,0.910185
10.872707,4.628774,0.922065
10.906059,4.646147,0.945085
10.939411,4.664792,0.971182
10.972763,4.683828,0.991575
11.006115,4.703214,1.000835
11.039466,4.721882,0.998685
11.072818,4.739040,0.985189
11.106170,4.756030,0.961852
11.139522,4.774513,0.931775
11.172874,4.789048,0.917364
11.206226,4.802095,0.926978
11.239578,4.818773,0.949690
11.272929,4.837565,0.975300
11.306281,4.857716,0.994558
11.339633,4.877931,1.002611
11.372985,4.897199,0.999226
11.406337,4.914769,0.984439
11.439689,4.932551,0.960925
11.473041,4.951340,0.931774
11.506392,4.965819,0.919486
11.539744,4.978600,0.929241
11.573096,4.994008,0.950868
11.606448,5.011909,0.971484
11.639800,5.031215,0.982033
11.673152,5.049887,0.981212
11.706504,5.066895,0.969261
11.739855,5.081479,0.949956
11.773207,5.098276,0.926170
11.806559,5.111063,0.912979
11.839911,5.122911,0.917865
11.873263,5.137708,0.935880
11.906615,5.153503,0.960153
11.939967,5.170703,0.981040
11.973319,5.189249,0.991153
12.006670,5.206754,0.989829
12.040022,5.222090,0.977697
12.073374,5.235005,0.958696
12.106726,5.250324,0.933881
